,Std_CP
145,38.757910393535354
146,28.892952317177507
147,19.743223439825417
148,11.210896954584669
149,75.29079802014859
150,26.776763693389565
151,50.654331096809955
152,25.10810194373091
153,34.54167865206559
154,126.35774730118571
155,23.173260452512935
156,16.998060968308014
157,74.9070079526978
158,26.25521731333056
159,35.40897607284477
160,63.37838903793891
161,28.270040452142535
162,69.43562067641659
163,25.849609259146924
164,31.790865970576515
165,41.0335459586348
166,47.067730050653736
167,19.040891669130296
168,18.42142332202651
169,13.757729909949981
170,39.87734255162435
171,22.787606280607886
172,18.76334612734991
173,52.64831778987274
174,70.8186235468993
175,35.84986423903788
176,23.763533276523955
177,16.739850541562376
178,42.81252291571803
179,17.414933450483957
180,89.74768259187668
181,28.242135659347458
182,28.613706261973675
183,19.482222389843308
184,10.35656637226706
185,36.0833783905891
186,55.79440150658043
187,26.64347853115588
188,25.185638243412242
189,32.253017987278284
190,47.18148443105918
191,21.92107053346924
192,25.08597412023252
193,149.74567504862102
194,26.0279311888295
195,55.64068552674281
196,23.758768782844264
197,63.81607402800508
198,41.53764523732987
199,38.70306110342579
200,21.2805159796552
201,20.472130033489623
202,36.70782322222725
203,22.969214077143285
204,47.06221644534783
205,151.3785333506968
206,23.782346393911595
207,75.51568169471943
208,90.04321685113706
209,43.26155151313308
210,22.958001682852128
211,33.02258778999347
212,46.6576222296123
213,71.60896902235392
214,99.42724119845182
215,14.778227613486383
216,31.283576935130416
217,31.41272961526159
218,10.49297689421663
219,23.578789246387977
220,54.9907097691923
221,25.22730002728526
222,26.399786580596764
223,80.94598763220398
224,14.904570389226087
225,37.71536978535584
226,31.94812371166188
227,108.97060598837061
228,54.47524022012358
229,70.21416218562015
230,52.08284851558988
231,27.999730660199933
232,106.16767887104979
233,22.73905266560224
234,12.871234861841616
235,48.74253886634775
236,32.88763656232327
237,15.443140449158891
238,66.55421522736398
239,144.58694912953197
240,10.812179512311642
241,45.15295144716726
242,102.30734476464919
243,52.31260727102598
244,32.31292132207066
245,24.779794602687453
246,49.02401020161768
247,8.921334209726293
248,33.964213756422424
249,45.87030787914483
250,71.1961014203741
251,72.12156104904516
252,94.20804416347036
253,70.16435666214583
254,48.43071949904283
255,12.365947867699695
256,78.16651703872259
257,19.780490546692878
258,21.944504786451226
259,42.04040883879086
260,23.436319756818524
261,28.205733562470975
262,47.47677100762788
263,48.777935139996856
264,41.39956421350052
265,36.2966800078442
266,65.36421406611176
267,15.036895727426051
268,103.73717808193028
269,134.2009906929927
270,17.16767364823133
271,27.766015430796436
272,78.50862479159004
273,42.72715681013673
274,48.16721574129968
275,88.6458375054478
276,37.057510142628495
