,Age,Time,Mean_CP,Std_CP,Elo,OppElo Elo,WL,WhiteWL
231,16.0,9.0,31.228571428571428,45.1937565406119,2659.0,2635.0,1.0,1.0
232,16.0,9.0,16.029411764705884,22.129762345350112,2684.0,2436.0,1.0,-1.0
233,16.0,9.0,22.88679245283019,31.49032841595269,2684.0,2567.0,1.0,1.0
234,16.0,9.0,25.170731707317078,61.10642455545258,2684.0,2343.0,1.0,-1.0
235,16.0,9.0,30.105263157894736,51.47121445523162,2684.0,2383.0,1.0,1.0
236,16.0,9.0,26.24137931034483,36.758531733087686,2684.0,2329.0,1.0,-1.0
237,16.0,9.0,21.25,19.458645607772628,2684.0,2455.0,0.0,0.0
238,16.0,9.0,27.73584905660377,49.32044003772917,2684.0,2614.0,1.0,1.0
239,16.0,9.0,16.568627450980394,15.884904660665462,2684.0,2419.0,1.0,-1.0
240,16.0,9.0,6.123287671232877,12.23149986882624,2684.0,2497.0,0.0,0.0
241,16.0,9.0,18.41176470588235,29.00482472619865,2684.0,2688.0,1.0,-1.0
242,16.0,9.0,19.68421052631579,26.162801386451587,2684.0,2664.0,0.0,0.0
243,16.0,9.0,42.29268292682927,78.7226917421016,2684.0,2722.0,1.0,-1.0
244,16.0,9.0,15.48936170212766,36.115077148052805,2684.0,2682.0,-1.0,-1.0
245,16.0,9.0,7.555555555555555,15.25555722167469,2684.0,2686.0,1.0,-1.0
246,16.0,9.0,22.6734693877551,29.1778938546962,2684.0,2655.0,0.0,0.0
247,16.0,9.0,42.34883720930232,65.32187109884269,2684.0,2684.0,-1.0,1.0
248,16.0,9.0,11.955223880597014,28.16802014095485,2684.0,2215.0,1.0,-1.0
249,16.0,9.0,11.025641025641026,15.480866253960386,2684.0,2365.0,1.0,1.0
250,16.0,9.0,28.25,48.31083070737206,2684.0,2578.0,1.0,-1.0
251,16.0,9.0,26.65853658536585,37.46772594920698,2684.0,2616.0,1.0,1.0
252,16.0,9.0,23.94736842105263,40.04925843253197,2684.0,2704.0,1.0,-1.0
253,16.0,9.0,24.27027027027027,36.49250200661368,2684.0,2698.0,1.0,1.0
254,16.0,9.0,17.90909090909091,49.02063572897364,2684.0,2566.0,1.0,-1.0
255,16.0,9.0,24.931818181818183,34.7786339965193,2684.0,2783.0,1.0,-1.0
256,16.0,9.0,20.725,31.86267609924076,2684.0,2759.0,0.0,0.0
257,16.0,9.0,21.73333333333333,36.89013171814135,2684.0,2688.0,-1.0,-1.0
