"Age","Elo","OppElo","Mean_CP","Std_CP","Time","WL","WhiteWL","Name"
18,2660,2485,9.84090909090909,13.6210220253401,11,"1","0","erigaisi"
18,2675,2248,35.5789473684211,79.3990705614055,11,"1","1","erigaisi"
18,2675,2465,14.0384615384615,15.2826195901901,11,"1/2","1/2","erigaisi"
18,2675,2578,22.8135593220339,43.8816883403038,11,"1","1","erigaisi"
18,2675,2592,31.6944444444444,63.7610805807539,11,"1","1","erigaisi"
18,2675,2529,12,15.060295481829,11,"1","0","erigaisi"
18,2675,2539,10.375,13.6788655829482,11,"1/2","1/2","erigaisi"
18,2675,2612,15.3265306122449,22.9541097946007,11,"1","1","erigaisi"
18,2675,2619,10.7551020408163,13.326869181352,11,"1/2","1/2","erigaisi"
18,2675,2648,22.2894736842105,24.7297915257022,11,"1/2","1/2","erigaisi"
18,2634,2451,9,9.48683298050514,11,"1/2","1/2","erigaisi"
18,2634,2430,9.53191489361702,15.7864155468772,11,"1/2","1/2","erigaisi"
18,2634,2469,45.1590909090909,87.1272640910498,11,"1/2","1/2","erigaisi"
18,2675,2123,13.5,20.9925984382398,11,"1/2","1/2","erigaisi"
18,2675,2355,14.4347826086957,21.334012670343,11,"1","1","erigaisi"
18,2675,2558,26.8055555555556,40.5228820329202,11,"1","0","erigaisi"
18,2675,2633,12.0526315789474,14.6858037139771,11,"1","1","erigaisi"
18,2675,2639,8.07692307692308,10.8772168385965,11,"1","0","erigaisi"
18,2675,2415,52.5,76.3647263373046,11,"1","1","erigaisi"
18,2675,2628,22.3921568627451,39.048727729017,11,"1/2","1/2","erigaisi"
18,2675,2693,12.75,14.0137919078443,11,"0","0","erigaisi"
18,2675,2690,28.575,106.146702425923,11,"1","0","erigaisi"
18,2675,2637,21.3859649122807,28.4245582865321,11,"1/2","1/2","erigaisi"
18,2675,2656,32.1044776119403,38.8731949121438,11,"1","1","erigaisi"
18,2675,2714,10.7105263157895,14.3581747969332,11,"1","1","erigaisi"
18,2675,2698,16.4897959183673,34.6332706421751,11,"0","1","erigaisi"
18,2675,2693,12.0512820512821,14.1996084415042,11,"1/2","1/2","erigaisi"
18,2675,2595,12.2931034482759,24.9068500552222,11,"1/2","1/2","erigaisi"
18,2675,2572,20.2028985507246,34.4492720447911,11,"1/2","1/2","erigaisi"
18,2675,2576,26.9322033898305,58.103909420012,11,"1/2","1/2","erigaisi"
18,2675,2616,16.2285714285714,21.4669180701043,11,"1/2","1/2","erigaisi"
18,2675,2619,10.8545454545455,18.7591145074702,11,"1/2","1/2","erigaisi"
18,2675,2609,20.9459459459459,43.1051337145885,11,"1","0","erigaisi"
18,2675,2624,24.2727272727273,33.7982910148498,11,"1/2","1/2","erigaisi"
18,2675,2652,11.875,14.4031246609894,11,"1/2","1/2","erigaisi"
18,2675,2621,31.5483870967742,50.731869477136,11,"1","1","erigaisi"
18,2681,2520,24.448275862069,45.4725868808392,11,"1/2","1/2","erigaisi"
18,2681,2426,18.3888888888889,45.4260405189876,11,"1/2","1/2","erigaisi"
18,2681,2608,33.1142857142857,36.9329849612952,11,"1","0","erigaisi"
18,2681,2602,37.5135135135135,71.942346369862,11,"1/2","1/2","erigaisi"
18,2681,2372,52.6046511627907,136.638929740791,11,"1/2","1/2","erigaisi"
18,2681,2537,28.0877192982456,46.806700032365,11,"1","1","erigaisi"
18,2681,2705,31.5102040816327,41.5412056722898,11,"0","1","erigaisi"
18,2681,2624,13.1764705882353,12.2114466624564,11,"1","1","erigaisi"
18,2681,2675,14.551724137931,13.2492215590646,11,"1","0","erigaisi"
18,2681,2635,39.6842105263158,56.9411218135317,11,"1/2","1/2","erigaisi"
18,2681,2656,29.6530612244898,39.6518972961405,11,"1/2","1/2","erigaisi"
18,2689,2170,13.0588235294118,18.2540010997516,11,"0","1","erigaisi"
18,2689,2478,28.8918918918919,32.566840483828,11,"1","0","erigaisi"
18,2689,2527,17.4666666666667,18.7514847896955,11,"1","1","erigaisi"
18,2689,2551,16.42,27.943156586184,11,"1","0","erigaisi"
18,2689,2576,10,16.8445578877803,11,"1/2","1/2","erigaisi"
18,2689,2629,15.1333333333333,18.0373350178305,11,"1","1","erigaisi"
18,2689,2627,20.0208333333333,39.5767445057544,11,"1/2","1/2","erigaisi"
18,2689,2625,25,47.169423840604,11,"1","1","erigaisi"
